Week,MinTemp,MaxTemp,Rainfall,Evaporation,Humidity,Pressure,Blight
1,8,24.3,0,3.4,68,1019.7,1
2,14,26.9,3.6,4.4,80,1012.4,1
3,13.7,23.4,3.6,5.8,82,1009.5,1
4,13.3,15.5,39.8,7.2,62,1005.5,1
5,7.6,16.1,2.8,5.6,68,1018.3,0
6,6.2,16.9,0,5.8,70,1023.8,0
7,6.1,18.2,0.2,4.2,63,1024.6,0
8,8.3,17,0,5.6,65,1026.2,0
9,8.8,19.5,0,4,70,1026.1,1
10,8.4,22.8,16.2,5.4,82,1024.1,0
11,9.1,25.2,0,4.2,74,1024.4,0
12,8.5,27.3,0.2,7.2,54,1023.8,0
13,10.1,27.9,0,7.2,62,1022,0
14,12.1,30.9,0,6.2,67,1017.3,0
15,10.1,31.2,0,8.8,45,1018.2,0
16,12.4,32.1,0,8.4,70,1017.9,0
17,13.8,31.2,0,7.2,72,1014.4,1
18,11.7,30,1.2,7.2,59,1016.4,0
19,12.4,32.3,0.6,7.4,60,1017.1,0
20,15.6,33.4,0,8,61,1018.5,0
21,15.3,33.4,0,8.8,60,1012.4,0
22,16.4,19.4,0.4,9.2,88,1010.7,1
23,12.8,18.5,25.8,2.8,91,1014,0
24,12,24.3,0.4,1.2,74,1020.7,0
25,15.4,28.4,0,4.4,85,1022.4,0
26,15.6,26.9,0,6.8,65,1019.7,0
27,13.3,22.2,0.2,6.6,70,1021,0
28,12.9,28,0,4.4,61,1019.2,0
29,15.1,24.3,0,7,69,1019,0
30,13.6,24.1,0.4,2.6,83,1017.2,1
31,15.1,20.4,22.6,2.4,82,1015,1
32,11.6,26.3,4.2,1.6,66,1013.9,0
33,16.6,24.2,0.2,6.6,72,1007.9,1
34,13.3,26.5,6.6,3.8,74,1007.3,0
35,14.5,21.8,0,8.4,69,1015,0
36,16.3,26.8,0,6,78,1018.8,0
37,17.2,25.8,0,4.2,70,1014.5,1
38,16.5,28.2,4,4.2,76,1014.8,0
39,15,29.4,0,6.6,78,1010.8,0
40,14.9,24.8,0,10.4,58,1011.7,0
41,11.8,18.5,0.6,4.8,60,1018,0
42,11.7,21.5,0,4.2,66,1021.1,0
43,9.6,20.3,0,5,70,1021.9,0
44,8.9,27.1,0,4.4,63,1018.1,0
45,10.1,29.9,0,6.8,63,1012.6,1
46,15.5,21.1,5.4,6.4,93,1010.1,1
47,10.8,21.7,1.4,2.8,59,1017.6,0
48,7.5,20.9,0,6.6,61,1020.6,0
49,12.8,21,0,6.4,72,1018,1
50,12.6,23.1,3.4,1.6,97,1015.8,1
51,14.8,29.5,6.4,1.8,81,1012.9,1
52,19.9,22,11,4.4,92,996.5,1
53,9.2,20.4,17.4,7.8,59,1009.5,0
54,12.4,24.4,0,6.2,69,1012.8,1
55,11.3,21.7,3.4,8.2,67,1020.4,0
56,9.8,26.3,0,5.2,63,1023.2,0
57,14.3,26.7,0,7.2,68,1017.3,1
58,15.1,28.3,14.4,8.8,73,1016.8,0
59,14.4,31.6,0,6.6,65,1017.1,0
60,15.4,35,0,9.6,55,1017.4,0
61,13.8,33.5,0,11.4,44,1019.2,0
62,13.6,34.2,0,8.8,50,1015.8,0
63,14.3,35,0,7.6,43,1012.6,0
64,15.9,23.4,0,12.6,69,1016.8,0
65,16.7,25.3,0,6.2,56,1016.2,0
66,12.1,27.5,0,7.4,69,1011.8,0
67,14.3,34.1,0,6.6,77,1006.6,0
68,16.5,33.9,0,9,60,1012.3,0
69,16.5,30.3,0,10,77,1015.7,0
70,17.5,29.9,0,6.6,74,1018.5,0
71,14.7,34.2,0,6.6,64,1017.8,0
72,17.5,35.8,0,9.4,56,1011.8,0
73,20.9,35.7,0,13.8,61,1007.6,1
74,17,33.8,2,9,65,1004,0
75,16,22.8,0,12.4,70,1012.3,0
76,15.4,33.8,0,5.2,70,1014.2,0
77,17.9,33.2,0,10.4,58,1008.5,1
78,15.2,25.1,4.8,6.4,62,1016.8,0
79,15.1,20.4,0,9.6,63,1017.5,1
80,15.3,19.6,18.8,5,92,1008.7,1
81,17.2,24.7,12.2,1.4,80,1004.9,0
82,15.9,19.9,0.8,5.6,73,1011.4,0
83,10,22.5,0,4.4,55,1018.7,0
84,9.9,24.4,0,5.8,60,1021.6,0
85,10.3,27.8,0,6.4,64,1021.3,0
86,15.4,25.7,0,6.8,67,1020.1,0
87,12.7,28.8,0,7.4,70,1016.5,0
88,13.2,31.3,0,6.6,71,1013.1,0
89,15.3,33.2,0,9.4,60,1013.9,0
90,17.9,33.9,0,10.4,72,1017.4,0
91,18,34.9,0,9.2,68,1018,1
92,17.6,27.8,5.2,10.2,66,1014.6,1
93,16,23.8,2.2,5.4,73,1018.9,0
94,14.9,28.8,0,5.8,71,1018.2,0
95,17.1,29.6,0,5.8,67,1016.7,1
96,18.2,22.6,1.8,8,92,1014.4,1
97,16.8,22.8,9,2.8,88,1010,0
98,13.6,27.4,1,2.8,77,1002.1,0
99,14.5,24.2,0,6.8,76,999.4,1
100,12.4,19.9,16.2,5.4,75,1007.6,0
101,10.4,20.9,0,4,65,1007.7,0
102,9.1,23.1,0,5.8,66,1013.6,0
103,8.9,26,0,5,74,1016.1,1
104,14.5,24.2,4.4,6.6,95,1010.8,1
